epoch,loss,val_loss
0,2.6262133717536926,1.872928261756897
0,2.6270467042922974,1.8736547231674194
0,0.6860401874035597,0.07449270784854889
0,0.6856694962829352,0.07440649718046188
0,2.6281277418136595,1.8745136260986328
0,0.07315543429245827,9.026971383718774e-06
0,0.07306854986341477,9.026884981722105e-06
0,2.6290042400360107,1.875450611114502
0,7.355259913861752,1.358842549830659
0,3.3361356258392334,3.0119123458862305
1,2.885150909423828,2.6488699913024902
0,3.3367451429367065,3.0125298500061035
1,2.885772705078125,2.6495001316070557
0,3.337031841278076,3.012730121612549
1,2.8859338760375977,2.649583339691162
0,3.3367544412612915,3.0124504566192627
1,2.8856543699900308,2.649306297302246
0,3.3351088762283325,3.0108747482299805
1,2.8841087023417153,2.6478185653686523
0,3.333509922027588,3.00929856300354
1,2.882542371749878,2.646271228790283
0,3.3355343341827393,3.011258125305176
1,2.8844736417134604,2.6481475830078125
0,3.334980010986328,3.0107901096343994
1,2.884044090906779,2.647794485092163
0,3.3339892625808716,3.0097789764404297
1,2.883023738861084,2.6467554569244385
0,3.338160276412964,3.013869524002075
1,2.8870785236358643,2.6507389545440674
0,3.3359774351119995,3.0117859840393066
1,2.885038375854492,2.6487843990325928
0,3.335787773132324,3.0115597248077393
1,2.884795904159546,2.6485095024108887
0,3.335803508758545,3.0115768909454346
1,2.884814500808716,2.648531675338745
0,3.335176944732666,3.010946750640869
1,2.8841822942097983,2.647895574569702
0,2.640873109593111,1.8707244396209717
1,1.494372059317196,1.1313246488571167
0,0.6902144547261878,0.07400441914796829
1,0.03294397005532495,0.013074547983705997
0,3.4555094242095947,3.2258405685424805
0,2.644399138057933,1.8740277290344238
1,1.4975183220470654,1.1342918872833252
2,0.9273038990795612,0.7171540856361389
3,0.5981895187321831,0.47031649947166443
4,0.3954949676990509,0.3199330270290375
5,0.27376467920839787,0.22544369101524353
6,0.19637884111965404,0.16419698297977448
7,0.14410816395983977,0.12319085001945496
8,0.10956772370263934,0.09483087062835693
9,0.08538519108996671,0.07460860162973404
10,0.0674497721826329,0.05978378280997276
11,0.054507826920598745,0.048644568771123886
12,0.04469723122961381,0.04009266197681427
13,0.03689548022606794,0.0334048792719841
14,0.030912114889360964,0.028092525899410248
15,0.026133824687670257,0.023816995322704315
16,0.022164003046996453,0.020338013768196106
17,0.01900491991546005,0.017481163144111633
18,0.016402902245959815,0.015116957016289234
19,0.014184549724792732,0.013147229328751564
20,0.012379540654364973,0.011496168561279774
21,0.010863360072321752,0.01010433305054903
22,0.00954747200012207,0.00892455130815506
23,0.008458451135084033,0.007919042371213436
24,0.00752840785528807,0.0070573678240180016
25,0.006707899053307141,0.006314879283308983
26,0.0060175836842972785,0.0056715551763772964
27,0.005418210290372372,0.005111084319651127
28,0.00488066508927766,0.004620152525603771
29,0.004420975950779393,0.004187863320112228
30,0.004015401841196067,0.003805281361564994
31,0.0036460056572276004,0.0034650613088160753
32,0.003325399520690553,0.003161148400977254
33,0.0030385435777990255,0.0028885360807180405
34,0.002773855141747524,0.0026430641300976276
35,0.0025413464609300718,0.002421268029138446
36,0.002331017708296285,0.002220246009528637
37,0.0021350246388465166,0.0020375556778162718
